Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
N2,0.00072,0.00067,0.00143,0.00574,8.22e-05,0.0012,0.001,0.00305,0.00781,9.71e-05,0.00036,0.00039,0.0005,0.00123,6.04e-05,0.00864,0.0132,0.00254,0.0833,0.0775,0.165,0.664,0.00951,0.0912,0.076,0.232,0.594,0.00738,0.142,0.154,0.197,0.484,0.0238,0.316,0.307,0.594,1.74,0.0407,7.97,6.51,3.42,5.97,4.01,2.46,5.16,4.94,2.31,4.13,0.00811
N2,0.00069,0.00055,0.00177,0.00821,6.81e-05,0.00149,0.0009,0.00565,0.021,7.13e-05,0.00035,0.00034,0.0007,0.00217,5.32e-05,0.0113,0.0292,0.00361,0.0611,0.0487,0.157,0.727,0.00603,0.0511,0.0309,0.194,0.722,0.00245,0.0969,0.0941,0.194,0.601,0.0147,0.209,0.174,0.544,2.05,0.0232,11.9,14.1,6.2,10.7,4.64,3.1,8.05,11.2,4.16,7.79,0.0147
N3,0.00058,0.00048,0.00125,0.0049,6.32e-05,0.00094,0.00062,0.00302,0.00992,5.71e-05,0.00038,0.00034,0.00069,0.00223,5e-05,0.00727,0.0146,0.00369,0.0797,0.066,0.172,0.674,0.00869,0.0646,0.0426,0.207,0.681,0.00392,0.103,0.0921,0.187,0.604,0.0136,0.247,0.201,0.566,1.96,0.0262,8.45,10.6,5.87,8.29,3.92,3.23,5.8,8.29,4.06,6.05,0.00851
N2,0.00054,0.0005,0.00089,0.00324,6.03e-05,0.00096,0.00079,0.00222,0.00914,5.95e-05,0.00044,0.00037,0.00077,0.00216,4.64e-05,0.00523,0.0132,0.00379,0.103,0.0956,0.17,0.619,0.0115,0.0729,0.06,0.169,0.694,0.00452,0.116,0.0977,0.203,0.57,0.0123,0.292,0.253,0.542,1.88,0.0283,6.0,9.52,4.91,6.81,3.64,2.81,3.97,6.49,3.62,4.69,0.0074
N3,0.00074,0.00061,0.00148,0.00855,6.05e-05,0.00133,0.00092,0.00375,0.0154,5.83e-05,0.00043,0.00036,0.00086,0.0023,4.38e-05,0.0114,0.0214,0.00399,0.0647,0.0533,0.129,0.747,0.00529,0.0621,0.043,0.175,0.717,0.00272,0.108,0.0901,0.215,0.576,0.011,0.234,0.186,0.52,2.04,0.019,11.6,11.5,5.35,9.48,5.78,2.67,7.43,8.49,4.0,6.64,0.0123
N3,0.00056,0.00047,0.00112,0.00598,5.47e-05,0.00099,0.00071,0.00231,0.00995,5.02e-05,0.00044,0.00034,0.00079,0.00253,4.11e-05,0.00818,0.014,0.00414,0.0684,0.0574,0.137,0.731,0.00668,0.0707,0.0507,0.165,0.71,0.00358,0.106,0.0821,0.191,0.611,0.00992,0.245,0.19,0.492,2.05,0.0202,10.7,10.1,5.75,8.83,5.34,3.2,6.89,7.21,4.26,6.12,0.00878
N3,0.00107,0.00079,0.00154,0.00534,6.43e-05,0.00135,0.00095,0.00282,0.0101,5.78e-05,0.00047,0.00038,0.00087,0.00233,4.35e-05,0.0088,0.0153,0.00409,0.122,0.0897,0.175,0.607,0.0073,0.0883,0.0621,0.184,0.661,0.00378,0.115,0.0928,0.213,0.569,0.0106,0.325,0.245,0.572,1.84,0.0217,4.99,7.49,4.96,5.81,3.47,2.68,3.7,5.62,3.76,4.36,0.0094
N3,0.00082,0.00063,0.00135,0.00578,5.83e-05,0.00107,0.00076,0.00235,0.0127,5.08e-05,0.00057,0.0004,0.00127,0.0037,4.22e-05,0.00864,0.0169,0.00598,0.0949,0.0729,0.156,0.669,0.00675,0.0633,0.045,0.139,0.75,0.00301,0.0953,0.0669,0.212,0.619,0.00705,0.254,0.185,0.508,2.04,0.0168,7.05,11.8,6.49,8.46,4.28,2.91,4.92,8.21,5.12,6.08,0.0105
N3,0.00077,0.00058,0.00147,0.0124,5.67e-05,0.00108,0.00083,0.00226,0.014,5.35e-05,0.00046,0.00037,0.00084,0.00246,4.14e-05,0.0153,0.0182,0.00417,0.0503,0.0379,0.096,0.812,0.0037,0.0594,0.0457,0.124,0.768,0.00294,0.11,0.0887,0.201,0.59,0.00992,0.22,0.172,0.422,2.17,0.0166,16.1,12.9,5.35,11.5,8.46,2.93,10.3,8.49,3.98,7.59,0.0126
N3,0.00134,0.00103,0.00211,0.0111,7.86e-05,0.00182,0.00155,0.00305,0.0117,9.56e-05,0.00082,0.00061,0.00133,0.00289,5.27e-05,0.0157,0.0182,0.0057,0.0854,0.0656,0.134,0.71,0.00501,0.0999,0.0851,0.167,0.642,0.00525,0.144,0.107,0.233,0.507,0.00924,0.329,0.258,0.535,1.86,0.0195,8.31,6.43,3.52,6.09,5.28,2.17,5.59,4.38,2.95,4.31,0.0132
N2,0.0005,0.00038,0.00119,0.00493,5.37e-05,0.00084,0.00062,0.00238,0.00863,5.32e-05,0.00045,0.0003,0.00101,0.0026,3.81e-05,0.00705,0.0125,0.0044,0.0709,0.0539,0.169,0.699,0.00761,0.0671,0.0495,0.19,0.689,0.00425,0.102,0.0682,0.23,0.591,0.00866,0.24,0.172,0.588,1.98,0.0205,9.86,10.3,5.78,8.64,4.14,2.57,6.95,7.54,4.81,6.44,0.00799
N3,0.00083,0.00063,0.00133,0.00724,5.82e-05,0.00134,0.00103,0.00238,0.0097,5.8e-05,0.00058,0.00039,0.00128,0.00306,4.06e-05,0.0101,0.0145,0.00535,0.0823,0.0624,0.132,0.718,0.00577,0.0924,0.071,0.164,0.669,0.004,0.108,0.0729,0.239,0.572,0.00759,0.283,0.206,0.535,1.96,0.0174,8.72,7.24,5.28,7.08,5.44,2.39,5.87,5.1,4.47,5.15,0.00998
N3,0.00102,0.00071,0.00156,0.00735,5.98e-05,0.00154,0.00113,0.00263,0.0102,6.09e-05,0.00062,0.00041,0.00124,0.00276,4.1e-05,0.0107,0.0156,0.00507,0.0953,0.0664,0.146,0.687,0.00559,0.0988,0.0725,0.169,0.656,0.00391,0.122,0.0809,0.245,0.544,0.00809,0.316,0.22,0.559,1.89,0.0176,7.21,6.64,4.45,6.1,4.71,2.23,5.15,4.82,3.88,4.62,0.0105
N2,0.0011,0.00079,0.00172,0.0125,6.23e-05,0.0014,0.00103,0.00263,0.0171,5.7e-05,0.00057,0.00045,0.00095,0.00303,4.43e-05,0.0162,0.0222,0.00504,0.0679,0.0488,0.106,0.773,0.00385,0.0631,0.0464,0.118,0.769,0.00257,0.113,0.0892,0.188,0.601,0.00878,0.244,0.184,0.413,2.14,0.0152,11.4,12.2,5.32,9.64,7.28,3.19,7.54,8.11,3.9,6.52,0.0145
N3,0.00085,0.00062,0.0016,0.00729,5.88e-05,0.0012,0.00085,0.00272,0.0129,5e-05,0.00051,0.00035,0.00109,0.00295,3.89e-05,0.0104,0.0177,0.00494,0.0816,0.0595,0.154,0.7,0.00564,0.0679,0.0481,0.154,0.727,0.00283,0.103,0.0709,0.221,0.597,0.00788,0.253,0.178,0.528,2.02,0.0163,8.58,10.7,5.78,8.36,4.56,2.71,6.05,7.6,4.7,6.11,0.011
N3,0.00092,0.00067,0.00143,0.00867,5.95e-05,0.00126,0.00095,0.00189,0.0132,5.29e-05,0.00061,0.00042,0.0012,0.00281,4.13e-05,0.0117,0.0173,0.00508,0.0783,0.057,0.122,0.738,0.00506,0.0728,0.0549,0.109,0.76,0.00306,0.12,0.0827,0.236,0.553,0.00813,0.271,0.195,0.467,2.05,0.0162,9.42,10.4,4.61,8.16,6.06,2.34,6.35,6.81,3.89,5.68,0.0114
N3,0.00077,0.00052,0.00155,0.00831,5.51e-05,0.00102,0.00071,0.00231,0.0129,4.77e-05,0.00055,0.00036,0.00127,0.00361,3.93e-05,0.0112,0.017,0.00583,0.0687,0.0464,0.138,0.742,0.00492,0.06,0.0418,0.136,0.759,0.00281,0.0944,0.0618,0.218,0.619,0.00674,0.223,0.15,0.492,2.12,0.0145,10.8,12.6,6.56,10.0,5.36,2.84,7.64,8.79,5.36,7.27,0.0113
N3,0.00083,0.00057,0.00173,0.0122,5.47e-05,0.00121,0.00086,0.00258,0.0159,5.05e-05,0.00048,0.00036,0.00098,0.00329,4.02e-05,0.0153,0.0206,0.00515,0.0541,0.0371,0.113,0.792,0.00356,0.0588,0.0418,0.125,0.772,0.00245,0.0932,0.0699,0.19,0.639,0.00781,0.206,0.149,0.428,2.2,0.0138,14.7,13.1,6.85,11.5,7.03,3.36,9.92,8.92,5.08,7.97,0.0137
N3,0.00074,0.00055,0.00138,0.00519,5.58e-05,0.00098,0.00069,0.0022,0.0111,4.66e-05,0.00059,0.00037,0.00136,0.00358,4.01e-05,0.00792,0.015,0.00594,0.0935,0.0695,0.174,0.656,0.00705,0.0652,0.0459,0.146,0.74,0.0031,0.0993,0.0623,0.229,0.603,0.00675,0.258,0.178,0.55,2.0,0.0169,7.01,11.3,6.07,8.14,3.76,2.63,5.09,7.98,5.15,6.07,0.00963
N3,0.00094,0.0006,0.00194,0.00901,5.6e-05,0.00119,0.00072,0.00326,0.017,4.68e-05,0.00056,0.00034,0.00127,0.00342,3.81e-05,0.0125,0.0222,0.00563,0.0749,0.0478,0.155,0.718,0.00446,0.0535,0.0324,0.147,0.765,0.00211,0.0995,0.0604,0.226,0.608,0.00677,0.228,0.141,0.527,2.09,0.0133,9.59,14.3,6.11,10.0,4.64,2.69,7.11,10.6,5.21,7.64,0.0135
N3,0.00073,0.00053,0.00115,0.00393,5.27e-05,0.00111,0.00077,0.00199,0.00701,4.72e-05,0.0006,0.00035,0.00148,0.00342,3.84e-05,0.00639,0.0109,0.00589,0.114,0.0829,0.18,0.615,0.00824,0.102,0.0705,0.182,0.642,0.00432,0.102,0.0594,0.251,0.581,0.00652,0.318,0.213,0.613,1.84,0.0191,5.38,6.32,5.7,5.8,3.42,2.31,4.03,4.79,5.16,4.66,0.00774
N3,0.00084,0.00054,0.00164,0.0112,5.23e-05,0.00134,0.00089,0.00291,0.0159,4.92e-05,0.00059,0.00038,0.00128,0.00435,3.97e-05,0.0143,0.0211,0.00664,0.0587,0.0377,0.115,0.785,0.00365,0.0636,0.0423,0.138,0.754,0.00234,0.0889,0.0572,0.193,0.655,0.00598,0.211,0.137,0.446,2.19,0.012,13.4,11.8,7.37,10.9,6.85,3.4,9.33,8.42,5.8,7.85,0.014
N3,0.00095,0.0007,0.00138,0.00634,5.78e-05,0.00129,0.00095,0.00204,0.00985,5.2e-05,0.00059,0.00039,0.00119,0.00351,4e-05,0.00943,0.0142,0.00572,0.101,0.0742,0.146,0.672,0.00613,0.091,0.067,0.144,0.695,0.00367,0.103,0.0682,0.208,0.614,0.00699,0.295,0.209,0.498,1.98,0.0168,6.67,7.64,5.95,6.75,4.59,2.95,4.68,5.31,4.8,4.93,0.00978
N3,0.00079,0.00054,0.00127,0.00536,5.31e-05,0.00089,0.00061,0.00181,0.00847,4.34e-05,0.00056,0.00032,0.00137,0.00353,3.64e-05,0.00801,0.0118,0.00582,0.0986,0.0674,0.158,0.669,0.00663,0.0753,0.0516,0.153,0.716,0.00367,0.0963,0.055,0.236,0.607,0.00626,0.27,0.174,0.547,1.99,0.0166,6.78,9.52,6.3,7.54,4.22,2.58,4.98,6.85,5.57,5.8,0.00855
N3,0.00122,0.00079,0.00245,0.0186,5.84e-05,0.00167,0.00118,0.00332,0.0245,5.57e-05,0.00057,0.0004,0.00111,0.00489,3.88e-05,0.0232,0.0307,0.00701,0.0527,0.0341,0.106,0.805,0.00252,0.0544,0.0385,0.108,0.797,0.00182,0.0813,0.0571,0.158,0.698,0.00554,0.188,0.13,0.372,2.3,0.00987,15.3,14.6,8.58,12.8,7.61,4.41,10.5,9.75,6.19,8.81,0.0203
N3,0.00103,0.00068,0.00177,0.00789,5.47e-05,0.00117,0.00082,0.00229,0.0125,4.72e-05,0.00057,0.00035,0.00126,0.00326,3.63e-05,0.0114,0.0168,0.00548,0.0902,0.0595,0.155,0.691,0.00479,0.0697,0.0489,0.136,0.742,0.00281,0.104,0.0639,0.23,0.595,0.00663,0.264,0.172,0.522,2.03,0.0142,7.66,10.6,5.72,8.01,4.46,2.59,5.65,7.41,4.91,5.99,0.0112
N3,0.00084,0.00057,0.00161,0.013,5.31e-05,0.00105,0.00074,0.00225,0.0193,4.62e-05,0.00069,0.00037,0.00163,0.00463,3.76e-05,0.016,0.0234,0.00736,0.0524,0.0356,0.1,0.808,0.00331,0.0449,0.0317,0.0963,0.825,0.00198,0.0938,0.0503,0.222,0.629,0.00511,0.191,0.118,0.418,2.26,0.0104,15.4,18.4,6.71,13.5,8.05,2.84,10.3,12.0,5.91,9.42,0.0156
N3,0.00089,0.0006,0.00163,0.00915,5.39e-05,0.00129,0.00092,0.00265,0.0105,5.04e-05,0.0007,0.00039,0.00162,0.00406,3.89e-05,0.0123,0.0154,0.00681,0.0722,0.0487,0.132,0.742,0.00437,0.0838,0.0598,0.172,0.681,0.00327,0.103,0.0573,0.238,0.596,0.00571,0.259,0.166,0.542,2.02,0.0134,10.3,8.12,5.8,8.07,5.61,2.51,7.23,5.94,5.21,6.13,0.0115
N3,0.00097,0.00065,0.00175,0.0101,5.27e-05,0.00149,0.00101,0.00306,0.0136,5.05e-05,0.00057,0.00036,0.00129,0.00404,3.68e-05,0.0135,0.0192,0.0063,0.0716,0.048,0.129,0.747,0.00389,0.0777,0.0527,0.16,0.707,0.00263,0.0905,0.0572,0.205,0.642,0.00584,0.24,0.158,0.494,2.1,0.0124,10.4,9.11,7.09,8.88,5.78,3.13,7.33,6.65,5.73,6.57,0.013
N3,0.00082,0.00056,0.00151,0.0149,5.11e-05,0.00101,0.00068,0.00223,0.014,4.4e-05,0.00055,0.00034,0.00133,0.00599,3.6e-05,0.0178,0.018,0.00825,0.046,0.0314,0.0847,0.835,0.00287,0.0562,0.0379,0.124,0.779,0.00245,0.0667,0.0412,0.161,0.726,0.00437,0.169,0.111,0.37,2.34,0.00968,18.1,13.9,10.9,14.3,9.85,4.5,11.9,9.6,8.22,9.9,0.0147
N3,0.00089,0.00059,0.00158,0.012,5.18e-05,0.00098,0.00061,0.0022,0.0125,4.05e-05,0.0005,0.00028,0.00148,0.00582,3.43e-05,0.0151,0.0164,0.00811,0.0589,0.039,0.104,0.794,0.00343,0.0599,0.0373,0.135,0.766,0.00248,0.0616,0.0345,0.182,0.717,0.00423,0.18,0.111,0.421,2.28,0.0101,13.5,12.8,11.6,12.6,7.6,3.93,9.18,9.26,9.36,9.27,0.0132
N3,0.00077,0.00053,0.00141,0.0103,5.16e-05,0.00094,0.00068,0.00201,0.0218,4.18e-05,0.00049,0.0003,0.00132,0.00688,3.42e-05,0.013,0.0255,0.00902,0.0591,0.0407,0.108,0.788,0.00396,0.0369,0.0267,0.0789,0.856,0.00164,0.0543,0.0332,0.146,0.762,0.00379,0.15,0.101,0.333,2.41,0.00939,13.3,23.2,14.0,16.9,7.28,5.21,8.98,14.7,10.4,11.4,0.0158
N3,0.00109,0.00073,0.00166,0.00949,5.43e-05,0.00131,0.0009,0.00258,0.0156,4.87e-05,0.0006,0.00037,0.00145,0.00757,3.67e-05,0.013,0.0204,0.01,0.0837,0.056,0.127,0.729,0.00417,0.0641,0.044,0.126,0.763,0.00238,0.0598,0.0369,0.145,0.755,0.00366,0.208,0.137,0.398,2.25,0.0102,8.71,11.9,12.6,11.1,5.72,5.22,6.13,8.23,9.3,7.89,0.0145
N3,0.00098,0.00062,0.00165,0.0153,5.09e-05,0.00098,0.00067,0.00209,0.021,4.29e-05,0.00049,0.0003,0.00125,0.00541,3.42e-05,0.0186,0.0248,0.00748,0.0528,0.0334,0.0888,0.822,0.00274,0.0395,0.027,0.0843,0.847,0.00173,0.0655,0.0401,0.167,0.723,0.00457,0.158,0.1,0.34,2.39,0.00904,15.6,21.4,11.0,16.0,9.25,4.33,10.6,14.0,8.43,11.0,0.0169
N3,0.00084,0.00057,0.00146,0.00964,4.88e-05,0.00109,0.00078,0.00195,0.0125,4.55e-05,0.00053,0.00033,0.00118,0.00517,3.6e-05,0.0126,0.0164,0.00725,0.0669,0.0454,0.116,0.768,0.00389,0.0666,0.0477,0.119,0.764,0.00278,0.0731,0.0455,0.163,0.713,0.00497,0.207,0.139,0.398,2.24,0.0116,11.5,11.5,9.75,10.9,6.6,4.38,7.87,7.72,7.38,7.66,0.0121
N3,0.00089,0.0006,0.00146,0.00861,4.99e-05,0.00137,0.00097,0.00221,0.012,5.19e-05,0.00062,0.00037,0.00147,0.00666,3.67e-05,0.0116,0.0166,0.00916,0.0767,0.0517,0.126,0.742,0.0043,0.0827,0.0586,0.133,0.722,0.00313,0.0677,0.0404,0.161,0.727,0.00401,0.227,0.151,0.42,2.19,0.0114,9.67,8.73,10.7,9.72,5.9,4.53,6.76,6.06,8.21,7.01,0.0124
N3,0.00088,0.00061,0.00138,0.0101,5.08e-05,0.00115,0.00081,0.00198,0.0149,4.44e-05,0.0005,0.00032,0.00113,0.00582,3.43e-05,0.013,0.0189,0.0078,0.0678,0.047,0.106,0.775,0.00391,0.061,0.0429,0.105,0.789,0.00235,0.0641,0.041,0.145,0.746,0.0044,0.193,0.131,0.356,2.31,0.0107,11.4,12.9,11.6,12.0,7.29,5.15,7.68,8.6,8.48,8.25,0.0132
N3,0.00137,0.00115,0.00196,0.0179,0.00025,0.00131,0.00115,0.00203,0.0204,0.00024,0.0006,0.00068,0.00111,0.0124,0.00023,0.0227,0.0251,0.015,0.0604,0.0507,0.0865,0.791,0.011,0.0521,0.0457,0.0807,0.812,0.00955,0.0399,0.0453,0.0739,0.826,0.0153,0.152,0.142,0.241,2.43,0.0359,13.1,15.6,20.7,16.4,9.15,11.2,7.9,9.12,10.6,9.19,0.0209
N3,0.00042,0.0003,0.00094,0.00589,4.26e-05,0.00056,0.00037,0.00125,0.00607,3.19e-05,0.00038,0.00019,0.00094,0.00396,2.73e-05,0.00759,0.00828,0.0055,0.0553,0.0395,0.124,0.776,0.00561,0.0676,0.0447,0.151,0.733,0.00385,0.0691,0.0346,0.171,0.72,0.00497,0.192,0.119,0.446,2.23,0.0144,14.0,10.8,10.4,11.8,6.27,4.21,9.49,7.87,8.6,8.65,0.00712
N3,0.00097,0.00066,0.0014,0.00821,5.05e-05,0.00142,0.00104,0.00206,0.0112,4.77e-05,0.00037,0.00023,0.00085,0.00359,2.74e-05,0.0113,0.0158,0.00507,0.0859,0.0585,0.124,0.727,0.00447,0.0898,0.0658,0.13,0.711,0.00302,0.073,0.0454,0.168,0.708,0.00541,0.249,0.17,0.422,2.15,0.0129,8.46,7.92,9.7,8.69,5.86,4.22,5.9,5.41,7.4,6.23,0.0107
N3,0.00096,0.00063,0.00148,0.00884,4.94e-05,0.0013,0.00085,0.00223,0.0123,4.14e-05,0.00047,0.00024,0.00121,0.00485,2.82e-05,0.012,0.0167,0.0068,0.0803,0.0527,0.124,0.739,0.00413,0.0779,0.051,0.134,0.735,0.00248,0.0691,0.0353,0.178,0.713,0.00415,0.227,0.139,0.435,2.19,0.0108,9.21,9.43,10.3,9.65,5.97,4.01,6.49,6.74,8.54,7.26,0.0118
N3,0.00094,0.00059,0.00155,0.0177,4.76e-05,0.00108,0.00074,0.00207,0.0214,3.87e-05,0.00043,0.00023,0.00118,0.00915,2.77e-05,0.0208,0.0253,0.011,0.0452,0.0284,0.0746,0.849,0.00229,0.0427,0.0293,0.0819,0.845,0.00153,0.039,0.0209,0.107,0.83,0.00251,0.127,0.0785,0.264,2.52,0.00634,18.8,19.8,21.3,19.9,11.4,7.75,12.5,12.9,15.7,13.7,0.019
N3,0.00078,0.0005,0.00133,0.00912,4.36e-05,0.00096,0.00063,0.00169,0.00937,3.53e-05,0.00037,0.00021,0.00097,0.00443,2.66e-05,0.0118,0.0127,0.00601,0.0662,0.0425,0.113,0.775,0.0037,0.0757,0.0497,0.133,0.739,0.00278,0.0616,0.035,0.161,0.738,0.00443,0.204,0.127,0.408,2.25,0.0109,11.7,9.76,12.0,11.1,6.86,4.57,8.16,6.96,9.31,8.14,0.0102
N3,0.00082,0.00052,0.00127,0.0137,4.63e-05,0.00099,0.00067,0.00156,0.0159,3.63e-05,0.00036,0.00021,0.00087,0.0054,2.8e-05,0.0163,0.0191,0.00687,0.0503,0.0319,0.0778,0.837,0.00284,0.0517,0.035,0.0815,0.83,0.0019,0.0524,0.0306,0.127,0.786,0.00408,0.154,0.0975,0.286,2.45,0.00881,16.7,16.0,15.0,15.9,10.8,6.21,11.1,10.5,11.0,10.9,0.0141
N3,0.00085,0.00052,0.00147,0.0179,4.62e-05,0.00093,0.00057,0.00184,0.0281,3.4e-05,0.0003,0.00018,0.00081,0.00923,2.67e-05,0.0208,0.0315,0.0105,0.041,0.0251,0.0708,0.861,0.00223,0.0295,0.0181,0.0585,0.893,0.00108,0.0284,0.0171,0.0768,0.875,0.00253,0.0989,0.0602,0.206,2.63,0.00584,21.0,30.2,30.8,27.3,12.2,11.4,14.1,20.0,20.9,18.3,0.0209
